id,annotation_id,elementid
473,3659,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
929,7237,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vic""]]"
930,7238,"[["""", ""clause""], [""type"", ""address""]]"
931,7239,"[["""", ""clause""], [""type"", ""witnesses""]]"
932,7240,"[["""", ""clause""], [""type"", ""disposition""]]"
486,3931,"[["""", ""clause""], [""type"", ""notification""]]"
933,7261,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomes""]]"
489,3944,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
490,3951,"[["""", ""clause""], [""type"", ""disposition""]]"
934,7262,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
522,3984,"[["""", ""clause""], [""type"", ""address""]]"
494,2825,"[["""", ""clause""], [""type"", ""title""], [""@text"", ""vicecomite""]]"
495,3955,"[["""", ""clause""], [""type"", ""witnesses""]]"
523,3985,"[["""", ""clause""], [""type"", ""disposition""]]"
524,3986,"[["""", ""clause""], [""type"", ""address""]]"
498,3958,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iustic-scott""]]"
500,3960,"[["""", ""person""], [""type"", ""name""], [""@text"", ""thor""]]"
525,3987,"[["""", ""clause""], [""type"", ""address""]]"
502,3962,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
526,3988,"[["""", ""clause""], [""type"", ""intitulatio""]]"
493,3954,"[["""", ""clause""], [""type"", ""intitulatio""]]"
527,3989,"[["""", ""clause""], [""type"", ""address""]]"
528,3990,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-christo""]]"
507,3968,"[["""", ""clause""], [""type"", ""notification""]]"
508,3969,"[["""", ""clause""], [""type"", ""address""]]"
509,3970,"[["""", ""clause""], [""type"", ""intitulatio""], [""@text"", ""cospatricus-comes""]]"
529,3929,"[["""", ""person""], [""type"", ""title""], [""@text"", ""vicecomitibus""]]"
504,3965,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
505,3966,"[["""", ""clause""], [""type"", ""intitulatio""]]"
510,3972,"[["""", ""clause""], [""type"", ""address""]]"
511,3973,"[["""", ""clause""], [""type"", ""intitulatio""]]"
512,3974,"[["""", ""clause""], [""type"", ""intitulatio""]]"
514,3976,"[["""", ""clause""], [""type"", ""address""]]"
515,3977,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-christo""]]"
516,3967,"[["""", ""clause""], [""type"", ""intitulatio""]]"
517,3978,"[["""", ""clause""], [""type"", ""address""]]"
485,3930,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iusticiis""]]"
518,3980,"[["""", ""clause""], [""type"", ""intitulatio""]]"
935,7263,"[["""", ""person""], [""type"", ""title""], [""@text"", ""iusticiis""]]"
501,3963,"[["""", ""clause""], [""type"", ""intitulatio""]]"
519,3981,"[["""", ""clause""], [""type"", ""address""]]"
557,4026,"[["""", ""person""], [""type"", ""name""], [""@text"", ""ricardo""]]"
561,4183,"[["""", ""clause""], [""type"", ""address""]]"
520,3982,"[["""", ""clause""], [""type"", ""disposition""]]"
521,3983,"[["""", ""clause""], [""type"", ""address""]]"
562,4184,"[["""", ""clause""], [""type"", ""salutation""]]"
497,3957,"[["""", ""clause""], [""type"", ""intitulatio""]]"
488,3011,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
42,2571,"[["""", ""clause""], [""type"", ""intitulatio""]]"
563,4185,"[["""", ""clause""], [""type"", ""notification""]]"
